'beta_mu', 'algorithm', 'terminate', 'init_point', 'optimal_soultion', 'ans', 'violation'
(0.01, 1.5)	BFGS	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1096, -0.0007, 0.3393, 0.0257, 0.3043, -0.0005, -0.0036, 0.2093)	0.0907	7
(0.01, 1.5)	BFGS	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1004, -0.0001, 0.3723, 0.0616, 0.3002, -0.0001, 0.0108, 0.154)	0.1027	5
(0.01, 1.5)	BFGS	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0688, 0.3, -0.0, 0.0151, 0.1391)	0.1048	1
(0.01, 1.5)	BFGS	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1793, -0.0066, 0.1339, -0.0345, 0.1889, 0.1172, -0.0473, 0.2897)	0.0459	7
(0.01, 1.5)	BFGS	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1003, -0.0001, 0.3739, 0.064, 0.3001, -0.0, 0.0123, 0.149)	0.1034	4
(0.01, 1.5)	BFGS	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0155, 0.1386)	0.1048	0
(0.01, 1.5)	BFGS	0.001	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1096, -0.0007, 0.3393, 0.0257, 0.3043, -0.0005, -0.0036, 0.2093)	0.0907	7
(0.01, 1.5)	BFGS	1e-05	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1004, -0.0001, 0.3723, 0.0616, 0.3002, -0.0001, 0.0108, 0.154)	0.1027	5
(0.01, 1.5)	BFGS	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.377, 0.0688, 0.3, -0.0, 0.0151, 0.1391)	0.1048	1
(0.01, 1.5)	BFGS	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1793, -0.0066, 0.1339, -0.0345, 0.1889, 0.1172, -0.0473, 0.2897)	0.0459	7
(0.01, 1.5)	BFGS	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1003, -0.0001, 0.3739, 0.064, 0.3001, -0.0, 0.0123, 0.149)	0.1034	4
(0.01, 1.5)	BFGS	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0155, 0.1386)	0.1048	0
(0.01, 1.5)	BFGS	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1096, -0.0007, 0.3393, 0.0257, 0.3043, -0.0005, -0.0036, 0.2093)	0.0907	7
(0.01, 1.5)	BFGS	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1004, -0.0001, 0.3723, 0.0616, 0.3002, -0.0001, 0.0108, 0.154)	0.1027	5
(0.01, 1.5)	BFGS	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.377, 0.0688, 0.3, -0.0, 0.0151, 0.1391)	0.1048	1
(0.01, 1.5)	BFGS	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1793, -0.0066, 0.1339, -0.0345, 0.1889, 0.1172, -0.0473, 0.2897)	0.0459	7
(0.01, 1.5)	BFGS	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1003, -0.0001, 0.3739, 0.064, 0.3001, -0.0, 0.0123, 0.149)	0.1034	4
(0.01, 1.5)	BFGS	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, 0.0, 0.377, 0.0689, 0.3, 0.0, 0.0154, 0.1386)	0.1048	0
(0.01, 1.5)	Powell	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.104, 0.0042, 0.3473, 0.019, 0.2709, 0.033, -0.0035, 0.2087)	0.0911	5
