2020	47.95	39.4	-8.55	-17.8	39.4	43.6	+4.2	+10.7	43.6	41.5	-2.1	-4.8	41.5	43.2	+1.7	+4.1
2019	33.95	40.1	+6.15	+18.1	40.1	47.55	+7.45	+18.6	47.55	43.3	-4.25	-8.9	43.3	47.95	+4.65	+10.7
2018	28.2	28.55	+0.35	+1.2	28.55	33.5	+4.95	+17.3	33.5	41.5	+8	+23.9	41.5	33.95	-7.55	-18.2
2017	26.35	30.6	+4.25	+16.1	30.6	26.1	-4.5	-14.7	26.1	26.85	+0.75	+2.9	26.85	28.2	+1.35	+5
2016	27.4	29.4	+2	+7.3	29.4	27.9	-1.5	-5.1	27.9	27.4	-0.5	-1.8	27.4	26.35	-1.05	-3.8
2015	39	39.35	+0.35	+0.9	39.35	36.5	-2.85	-7.2	36.5	32.2	-4.3	-11.8	32.2	27.4	-4.8	-14.9
2014	38.6	38	-0.6	-1.6	38	40.9	+2.9	+7.6	40.9	38.85	-2.05	-5	38.85	39	+0.15	+0.4
2013	37.35	36.45	-0.9	-2.4	36.45	36.9	+0.45	+1.2	36.9	37.4	+0.5	+1.4	37.4	38.6	+1.2	+3.2
2012	34	35.95	+1.95	+5.7	35.95	37.45	+1.5	+4.2	37.45	37.05	-0.4	-1.1	37.05	37.35	+0.3	+0.8
2011	32.25	33.05	+0.8	+2.5	33.05	41	+7.95	+24.1	41	31.95	-9.05	-22.1	31.95	34	+2.05	+6.4
2010	34.6	31	-3.6	-10.4	31	28.4	-2.6	-8.4	28.4	31.85	+3.45	+12.1	31.85	32.25	+0.4	+1.3
2009	28.45	29.4	+0.95	+3.3	29.4	35	+5.6	+19	35	36	+1	+2.9	36	34.6	-1.4	-3.9
2008	47.4	54.3	+6.9	+14.6	54.3	45.5	-8.8	-16.2	45.5	28	-17.5	-38.5	28	28.45	+0.45	+1.6
2007	31	32	+1	+3.2	32	43.3	+11.3	+35.3	43.3	55.5	+12.2	+28.2	55.5	47.4	-8.1	-14.6
2006	19.45	22.8	+3.35	+17.2	22.8	24.3	+1.5	+6.6	24.3	24	-0.3	-1.2	24	31	+7	+29.2
2005	22.4	20.8	-1.6	-7.1	20.8	20.75	-0.05	-0.2	20.75	18.5	-2.25	-10.8	18.5	19.45	+0.95	+5.1
2004	18.1	22.1	+4	+22.1	22.1	18.8	-3.3	-14.9	18.8	21.2	+2.4	+12.8	21.2	22.4	+1.2	+5.7
2003	13.2	13.6	+0.4	+3	13.6	12.9	-0.7	-5.1	12.9	14.3	+1.4	+10.9	14.3	18.1	+3.8	+26.6
2002	10.65	10.15	-0.5	-4.7	10.15	12.5	+2.35	+23.2	12.5	9.15	-3.35	-26.8	9.15	13.2	+4.05	+44.3
2001	18.3	14.8	-3.5	-19.1	14.8	10.35	-4.45	-30.1	10.35	10.55	+0.2	+1.9	10.55	10.65	+0.1	+0.9
2000	27.6	28	+0.4	+1.4	28	20	-8	-28.6	20	13.9	-6.1	-30.5	13.9	18.3	+4.4	+31.7
1999	30.3	24.5	-5.8	-19.1	24.5	29	+4.5	+18.4	29	28.6	-0.4	-1.4	28.6	27.6	-1	-3.5
1998	38.5	36.4	-2.1	-5.5	36.4	32	-4.4	-12.1	32	29.2	-2.8	-8.8	29.2	30.3	+1.1	+3.8
1997	50	50.5	+0.5	+1	50.5	44	-6.5	-12.9	44	42.1	-1.9	-4.3	42.1	38.5	-3.6	-8.6
