2020	72.8	54.7	-18.1	-24.9	54.7	64.6	+9.9	+18.1	64.6	59.5	-5.1	-7.9	59.5	71.9	+12.4	+20.8
2019	75.5	78.9	+3.4	+4.5	78.9	78.6	-0.3	-0.4	78.6	69.7	-8.9	-11.3	69.7	72.8	+3.1	+4.4
2018	77.9	81.6	+3.7	+4.7	81.6	87.2	+5.6	+6.9	87.2	84.8	-2.4	-2.8	84.8	75.5	-9.3	-11
2017	71.2	71.9	+0.7	+1	71.9	75.5	+3.6	+5	75.5	75	-0.5	-0.7	75	77.9	+2.9	+3.9
2016	61	67.6	+6.6	+10.8	67.6	61	-6.6	-9.8	61	62	+1	+1.6	62	71.2	+9.2	+14.8
2015	65.5	69.5	+4	+6.1	69.5	72.4	+2.9	+4.2	72.4	55.6	-16.8	-23.2	55.6	61	+5.4	+9.7
2014	68.9	64.5	-4.4	-6.4	64.5	71.9	+7.4	+11.5	71.9	66.6	-5.3	-7.4	66.6	65.5	-1.1	-1.7
2013	56	53.6	-2.4	-4.3	53.6	63.2	+9.6	+17.9	63.2	62.2	-1	-1.6	62.2	68.9	+6.7	+10.8
2012	60.1	66.7	+6.6	+11	66.7	53.4	-13.3	-19.9	53.4	58.8	+5.4	+10.1	58.8	56	-2.8	-4.8
2011	72.7	86.7	+14	+19.3	86.7	76.6	-10.1	-11.6	76.6	66.3	-10.3	-13.4	66.3	60.1	-6.2	-9.4
2010	58.3	64.8	+6.5	+11.1	64.8	51.7	-13.1	-20.2	51.7	68.4	+16.7	+32.3	68.4	72.7	+4.3	+6.3
2009	35.3	38.8	+3.5	+9.9	38.8	42.6	+3.8	+9.8	42.6	52.6	+10	+23.5	52.6	58.3	+5.7	+10.8
2008	86	75.5	-10.5	-12.2	75.5	64.5	-11	-14.6	64.5	46.75	-17.75	-27.5	46.75	35.3	-11.45	-24.5
2007	54.3	62	+7.7	+14.2	62	72.4	+10.4	+16.8	72.4	84.1	+11.7	+16.2	84.1	86	+1.9	+2.3
2006	45.2	48.25	+3.05	+6.7	48.25	47.75	-0.5	-1	47.75	46.3	-1.45	-3	46.3	54.3	+8	+17.3
2005	48.6	46.6	-2	-4.1	46.6	46.65	+0.05	+0.1	46.65	39.95	-6.7	-14.4	39.95	45.2	+5.25	+13.1
2004	49	46.5	-2.5	-5.1	46.5	44.3	-2.2	-4.7	44.3	49.5	+5.2	+11.7	49.5	48.6	-0.9	-1.8
2003	30	33.1	+3.1	+10.3	33.1	37.5	+4.4	+13.3	37.5	40	+2.5	+6.7	40	49	+9	+22.5
2002	26.8	35.8	+9	+33.6	35.8	31.3	-4.5	-12.6	31.3	27	-4.3	-13.7	27	30	+3	+11.1
2001	37.2	39	+1.8	+4.8	39	34.8	-4.2	-10.8	34.8	19.4	-15.4	-44.3	19.4	26.8	+7.4	+38.1
2000	69	70.5	+1.5	+2.2	70.5	62	-8.5	-12.1	62	42.2	-19.8	-31.9	42.2	37.2	-5	-11.8
1999	41.5	48.7	+7.2	+17.3	48.7	53.5	+4.8	+9.9	53.5	50.5	-3	-5.6	50.5	69	+18.5	+36.6
1998	56.5	58.5	+2	+3.5	58.5	46.6	-11.9	-20.3	46.6	35.4	-11.2	-24	35.4	41.5	+6.1	+17.2
1997	65.5	62	-3.5	-5.3	62	81	+19	+30.6	81	68.5	-12.5	-15.4	68.5	56.5	-12	-17.5
