2020	331	274	-57	-17.2	274	313	+39	+14.2	313	433	+120	+38.3	433	530	+97	+22.4
2019	225.5	245.5	+20	+8.9	245.5	239	-6.5	-2.6	239	272	+33	+13.8	272	331	+59	+21.7
2018	229.5	247.5	+18	+7.8	247.5	216.5	-31	-12.5	216.5	262.5	+46	+21.2	262.5	225.5	-37	-14.1
2017	181.5	189	+7.5	+4.1	189	208.5	+19.5	+10.3	208.5	216.5	+8	+3.8	216.5	229.5	+13	+6
2016	143	162	+19	+13.3	162	162.5	+0.5	+0.3	162.5	182.5	+20	+12.3	182.5	181.5	-1	-0.5
2015	141	145.5	+4.5	+3.2	145.5	140.5	-5	-3.4	140.5	130	-10.5	-7.5	130	143	+13	+10
2014	105.5	118.5	+13	+12.3	118.5	126.5	+8	+6.8	126.5	120	-6.5	-5.1	120	141	+21	+17.5
2013	97	100.5	+3.5	+3.6	100.5	111	+10.5	+10.4	111	100.5	-10.5	-9.5	100.5	105.5	+5	+5
2012	75.8	84.9	+9.1	+12	84.9	81.3	-3.6	-4.2	81.3	89.8	+8.5	+10.5	89.8	97	+7.2	+8
2011	71	70.6	-0.4	-0.6	70.6	72.2	+1.6	+2.3	72.2	70	-2.2	-3	70	75.8	+5.8	+8.3
2010	64.5	61.5	-3	-4.7	61.5	60.6	-0.9	-1.5	60.6	62	+1.4	+2.3	62	71	+9	+14.5
2009	44.4	51.4	+7	+15.8	51.4	54.7	+3.3	+6.4	54.7	64.5	+9.8	+17.9	64.5	64.5	0	0
2008	62	63.1	+1.1	+1.8	63.1	65	+1.9	+3	65	52.5	-12.5	-19.2	52.5	44.4	-8.1	-15.4
2007	67.5	67.9	+0.4	+0.6	67.9	70.9	+3	+4.4	70.9	63.3	-7.6	-10.7	63.3	62	-1.3	-2.1
2006	62.5	64.2	+1.7	+2.7	64.2	58.4	-5.8	-9	58.4	59.7	+1.3	+2.2	59.7	67.5	+7.8	+13.1
2005	50.5	51.5	+1	+2	51.5	55.1	+3.6	+7	55.1	53.3	-1.8	-3.3	53.3	62.5	+9.2	+17.3
2004	63.5	60	-3.5	-5.5	60	48.4	-11.6	-19.3	48.4	43.3	-5.1	-10.5	43.3	50.5	+7.2	+16.6
2003	42.6	42.3	-0.3	-0.7	42.3	57	+14.7	+34.8	57	66.5	+9.5	+16.7	66.5	63.5	-3	-4.5
2002	87.5	96.5	+9	+10.3	96.5	68	-28.5	-29.5	68	41.1	-26.9	-39.6	41.1	42.6	+1.5	+3.6
2001	78.5	88.5	+10	+12.7	88.5	64	-24.5	-27.7	64	46.7	-17.3	-27	46.7	87.5	+40.8	+87.4
2000	167	205	+38	+22.8	205	146	-59	-28.8	146	100	-46	-31.5	100	78.5	-21.5	-21.5
1999	71	104	+33	+46.5	104	123.5	+19.5	+18.8	123.5	133.5	+10	+8.1	133.5	167	+33.5	+25.1
1998	112	162	+50	+44.6	162	71	-91	-56.2	71	66	-5	-7	66	71	+5	+7.6
1997	56.5	70.5	+14	+24.8	70.5	123.5	+53	+75.2	123.5	137	+13.5	+10.9	137	112	-25	-18.2
