2020	42.55	35.3	-7.25	-17	35.3	41.85	+6.55	+18.6	39.85	38.6	-1.25	-3.1	38.6	42.25	+3.65	+9.5
2019	47	44.95	-2.05	-4.4	44.95	43	-1.95	-4.3	41.5	40.9	-0.6	-1.4	40.9	42.55	+1.65	+4
2018	53.5	52.5	-1	-1.9	52.5	53.8	+1.3	+2.5	53.8	52.5	-1.3	-2.4	52.5	47	-5.5	-10.5
2017	48.2	48.7	+0.5	+1	48.7	50.1	+1.4	+2.9	48.1	48.2	+0.1	+0.2	48.2	53.5	+5.3	+11
2016	46.3	38.55	-7.75	-16.7	38.55	35	-3.55	-9.2	35	40.1	+5.1	+14.6	40.1	48.2	+8.1	+20.2
2015	46.95	50	+3.05	+6.5	50	53.9	+3.9	+7.8	51.9	44.95	-6.95	-13.4	44.95	46.3	+1.35	+3
2014	48.25	44.4	-3.85	-8	44.4	46.65	+2.25	+5.1	46.65	49.55	+2.9	+6.2	49.55	46.95	-2.6	-5.2
2013	31.5	40.95	+9.45	+30	40.95	40.9	-0.05	-0.1	40.9	42.1	+1.2	+2.9	42.1	48.25	+6.15	+14.6
2012	32.7	33.6	+0.9	+2.8	33.6	29.25	-4.35	-12.9	29.25	31.5	+2.25	+7.7	31.5	31.5	0	0
2011	51.7	48.55	-3.15	-6.1	48.55	44.45	-4.1	-8.4	44.45	35.2	-9.25	-20.8	35.2	32.7	-2.5	-7.1
2010	59.7	53	-6.7	-11.2	53	48.05	-4.95	-9.3	48.05	47.75	-0.3	-0.6	47.75	51.7	+3.95	+8.3
2009	36.5	29.15	-7.35	-20.1	29.15	48.55	+19.4	+66.6	48.55	53.4	+4.85	+10	53.4	59.7	+6.3	+11.8
2008	67.6	77.5	+9.9	+14.6	77.5	66	-11.5	-14.8	66	43.15	-22.85	-34.6	43.15	36.5	-6.65	-15.4
2007	74	68.7	-5.3	-7.2	68.7	78.5	+9.8	+14.3	78.5	79	+0.5	+0.6	79	67.6	-11.4	-14.4
2006	59.5	58	-1.5	-2.5	58	70.8	+12.8	+22.1	70.8	66.3	-4.5	-6.4	66.3	74	+7.7	+11.6
2005	65	59.8	-5.2	-8	59.8	63.8	+4	+6.7	63.8	61.9	-1.9	-3	61.9	59.5	-2.4	-3.9
2004	51	59.5	+8.5	+16.7	59.5	60.5	+1	+1.7	58.5	64	+5.5	+9.4	64	65	+1	+1.6
2003	36.9	38.1	+1.2	+3.3	38.1	42.3	+4.2	+11	42.3	44	+1.7	+4	44	51	+7	+15.9
2002	57	50	-7	-12.3	50	49.2	-0.8	-1.6	49.2	38.4	-10.8	-22	38.4	36.9	-1.5	-3.9
2001	58	55.5	-2.5	-4.3	55.5	41.5	-14	-25.2	41.5	35.6	-5.9	-14.2	35.6	57	+21.4	+60.1
2000	75.5	84	+8.5	+11.3	84	71	-13	-15.5	71	68.5	-2.5	-3.5	68.5	58	-10.5	-15.3
1999	104	107	+3	+2.9	107	116	+9	+8.4	116	82	-34	-29.3	82	75.5	-6.5	-7.9
1998	145	138	-7	-4.8	138	105	-33	-23.9	105	96.5	-8.5	-8.1	96.5	104	+7.5	+7.8
1997	175	164	-11	-6.3	164	159	-5	-3	159	130.5	-28.5	-17.9	130.5	145	+14.5	+11.1
