2020	46.4	37.55	-8.85	-19.1	37.55	43.9	+6.35	+16.9	41.9	41.9	0	0	41.9	46.75	+4.85	+11.6
2019	47.05	46	-1.05	-2.2	46	45.85	-0.15	-0.3	45.85	44.55	-1.3	-2.8	44.55	46.4	+1.85	+4.2
2018	50.7	50.2	-0.5	-1	50.2	51.1	+0.9	+1.8	51.1	51.8	+0.7	+1.4	51.8	47.05	-4.75	-9.2
2017	51	49.5	-1.5	-2.9	49.5	48.45	-1.05	-2.1	46.45	47.2	+0.75	+1.6	47.2	50.7	+3.5	+7.4
2016	45	41	-4	-8.9	41	37.65	-3.35	-8.2	37.65	46.3	+8.65	+23	46.3	51	+4.7	+10.2
2015	50.7	56.2	+5.5	+10.8	56.2	61.4	+5.2	+9.3	61.4	51.3	-10.1	-16.4	51.3	45	-6.3	-12.3
2014	43.6	41.3	-2.3	-5.3	41.3	43.15	+1.85	+4.5	43.15	46.7	+3.55	+8.2	46.7	50.7	+4	+8.6
2013	35.1	42.8	+7.7	+21.9	42.8	40.85	-1.95	-4.6	39.85	40.9	+1.05	+2.6	40.9	43.6	+2.7	+6.6
2012	32.05	33.25	+1.2	+3.7	33.25	29.8	-3.45	-10.4	29.8	31.9	+2.1	+7	31.9	35.1	+3.2	+10
2011	40	39.05	-0.95	-2.4	39.05	44.15	+5.1	+13.1	44.15	32.1	-12.05	-27.3	32.1	32.05	-0.05	-0.2
2010	39.3	38.6	-0.7	-1.8	38.6	36.1	-2.5	-6.5	36.1	38.45	+2.35	+6.5	38.45	40	+1.55	+4
2009	23.9	20.45	-3.45	-14.4	20.45	30.7	+10.25	+50.1	30.7	36.3	+5.6	+18.2	36.3	39.3	+3	+8.3
2008	28.8	34.5	+5.7	+19.8	34.5	31	-3.5	-10.1	31	22.55	-8.45	-27.3	22.55	23.9	+1.35	+6
2007	30.5	29.8	-0.7	-2.3	29.8	30	+0.2	+0.7	30	28.2	-1.8	-6	28.2	28.8	+0.6	+2.1
2006	28.2	27.5	-0.7	-2.5	27.5	28	+0.5	+1.8	28	27.45	-0.55	-2	27.45	30.5	+3.05	+11.1
2005	32.5	29.85	-2.65	-8.2	29.85	30.8	+0.95	+3.2	30.8	30.4	-0.4	-1.3	30.4	28.2	-2.2	-7.2
2004	32.5	34.6	+2.1	+6.5	34.6	29.3	-5.3	-15.3	29.3	31.2	+1.9	+6.5	31.2	32.5	+1.3	+4.2
2003	27.6	27	-0.6	-2.2	27	27.7	+0.7	+2.6	27.7	33	+5.3	+19.1	33	32.5	-0.5	-1.5
2002	30.4	33.9	+3.5	+11.5	33.9	33.4	-0.5	-1.5	33.4	29	-4.4	-13.2	29	27.6	-1.4	-4.8
2001	20.3	30.1	+9.8	+48.3	30.1	28.5	-1.6	-5.3	28.5	26.6	-1.9	-6.7	26.6	30.4	+3.8	+14.3
2000	25.8	32	+6.2	+24	32	24.6	-7.4	-23.1	24.6	17.7	-6.9	-28	17.7	20.3	+2.6	+14.7
1999	34.79	32.5	-2.29	-6.6	32.5	35.79	+3.29	+10.1	35.79	25.8	-9.99	-27.9	25.8	25.8	0	0
1998	69	72	+3	+4.3	72	64	-8	-11.1	64	35.9	-28.1	-43.9	35.9	34.79	-1.11	-3.1
1997	73	77	+4	+5.5	77	72	-5	-6.5	72	69.5	-2.5	-3.5	69.5	69	-0.5	-0.7
