2020	231.5	204.5	-27	-11.7	204.5	216	+11.5	+5.6	216	253.5	+37.5	+17.4	253.5	250.5	-3	-1.2
2019	201.5	223	+21.5	+10.7	223	223	0	0	223	206.5	-16.5	-7.4	206.5	231.5	+25	+12.1
2018	279.5	276	-3.5	-1.3	276	278.5	+2.5	+0.9	278.5	264	-14.5	-5.2	264	201.5	-62.5	-23.7
2017	265	300	+35	+13.2	300	287.5	-12.5	-4.2	287.5	248	-39.5	-13.7	248	279.5	+31.5	+12.7
2016	272	289	+17	+6.2	289	265.5	-23.5	-8.1	265.5	279.5	+14	+5.3	279.5	265	-14.5	-5.2
2015	346.5	315	-31.5	-9.1	315	300.5	-14.5	-4.6	300.5	282.5	-18	-6	282.5	272	-10.5	-3.7
2014	268	301.5	+33.5	+12.5	301.5	333	+31.5	+10.4	333	290	-43	-12.9	290	346.5	+56.5	+19.5
2013	326.5	357.5	+31	+9.5	357.5	258	-99.5	-27.8	258	235.5	-22.5	-8.7	235.5	268	+32.5	+13.8
2012	215.5	278.5	+63	+29.2	278.5	271.5	-7	-2.5	271.5	318.5	+47	+17.3	318.5	326.5	+8	+2.5
2011	277	254.5	-22.5	-8.1	254.5	285	+30.5	+12	285	231	-54	-18.9	231	215.5	-15.5	-6.7
2010	61.8	55.3	-6.5	-10.5	55.3	239.5	+184.2	+333.1	239.5	224	-15.5	-6.5	224	277	+53	+23.7
2009	36.8	35.65	-1.15	-3.1	35.65	42.6	+6.95	+19.5	42.6	55.2	+12.6	+29.6	55.2	61.8	+6.6	+12
2008	97.4	89	-8.4	-8.6	89	82.6	-6.4	-7.2	82.6	62.1	-20.5	-24.8	62.1	36.8	-25.3	-40.7
2007	89.2	78	-11.2	-12.6	78	90.4	+12.4	+15.9	90.4	98.8	+8.4	+9.3	98.8	97.4	-1.4	-1.4
2006	101	88	-13	-12.9	88	79.5	-8.5	-9.7	79.5	77.7	-1.8	-2.3	77.7	89.2	+11.5	+14.8
2005	84.5	87	+2.5	+3	87	89.4	+2.4	+2.8	89.4	89	-0.4	-0.4	89	101	+12	+13.5
2004	75	79	+4	+5.3	79	76.5	-2.5	-3.2	76.5	74.5	-2	-2.6	74.5	84.5	+10	+13.4
2003	61	66.5	+5.5	+9	66.5	87.5	+21	+31.6	87.5	85.5	-2	-2.3	85.5	75	-10.5	-12.3
2002	153	154	+1	+0.7	154	100.5	-53.5	-34.7	100.5	82	-18.5	-18.4	82	61	-21	-25.6
2001	97	170	+73	+75.3	170	145.5	-24.5	-14.4	145.5	103.5	-42	-28.9	103.5	153	+49.5	+47.8
2000	331	381	+50	+15.1	381	254	-127	-33.3	254	155	-99	-39	155	97	-58	-37.4
1999	301	280	-21	-7	280	364	+84	+30	364	316	-48	-13.2	316	331	+15	+4.7
1998	517	746	+229	+44.3	746	281	-465	-62.3	281	240	-41	-14.6	240	301	+61	+25.4
1997	289	623	+334	+115.6	623	368	-255	-40.9	368	505	+137	+37.2	505	517	+12	+2.4
