2020	9.06	6.61	-2.45	-27	6.61	8.2	+1.59	+24.1	8.2	8.28	+0.08	+1	8.28	12.05	+3.77	+45.5
2019	11	9.86	-1.14	-10.4	9.86	9.84	-0.02	-0.2	9.84	9.08	-0.76	-7.7	9.08	9.06	-0.02	-0.2
2018	11.65	10.8	-0.85	-7.3	10.8	9.52	-1.28	-11.9	9.52	9.25	-0.27	-2.8	9.25	11	+1.75	+18.9
2017	9.3	10.55	+1.25	+13.4	10.55	9.23	-1.32	-12.5	9.23	11.3	+2.07	+22.4	11.3	11.65	+0.35	+3.1
2016	12	11.5	-0.5	-4.2	11.5	9.69	-1.81	-15.7	9.69	9.35	-0.34	-3.5	9.35	9.3	-0.05	-0.5
2015	14.5	16.05	+1.55	+10.7	16.05	13.15	-2.9	-18.1	13.15	11.25	-1.9	-14.4	11.25	12	+0.75	+6.7
2014	10.95	10.05	-0.9	-8.2	10.05	10.25	+0.2	+2	10.25	10.2	-0.05	-0.5	10.2	14.5	+4.3	+42.2
2013	12	11.7	-0.3	-2.5	11.7	11.3	-0.4	-3.4	11.3	11.1	-0.2	-1.8	11.1	10.95	-0.15	-1.4
2012	13.2	11.9	-1.3	-9.8	11.9	13.4	+1.5	+12.6	13.4	12.25	-1.15	-8.6	12.25	12	-0.25	-2
2011	25.8	16.95	-8.85	-34.3	16.95	19.5	+2.55	+15	19.5	15.2	-4.3	-22.1	15.2	13.2	-2	-13.2
2010	11.35	11.6	+0.25	+2.2	11.6	16.5	+4.9	+42.2	16.5	22.5	+6	+36.4	22.5	25.8	+3.3	+14.7
2009	7.62	8.45	+0.83	+10.9	8.45	8.12	-0.33	-3.9	8.12	10.75	+2.63	+32.4	10.75	11.35	+0.6	+5.6
2008	14.55	17.65	+3.1	+21.3	17.65	13.2	-4.45	-25.2	13.2	6.81	-6.39	-48.4	6.81	7.62	+0.81	+11.9
2007	15.2	14.75	-0.45	-3	14.75	14.8	+0.05	+0.3	14.8	13.4	-1.4	-9.5	13.4	14.55	+1.15	+8.6
2006	15.95	14.25	-1.7	-10.7	14.25	15.4	+1.15	+8.1	15.4	14.5	-0.9	-5.8	14.5	15.2	+0.7	+4.8
2005	18.1	17.2	-0.9	-5	17.2	17.5	+0.3	+1.7	17.5	15.3	-2.2	-12.6	15.3	15.95	+0.65	+4.2
2004	14.7	20	+5.3	+36.1	20	17.5	-2.5	-12.5	17.5	16.9	-0.6	-3.4	16.9	18.1	+1.2	+7.1
2003	14.85	12	-2.85	-19.2	12	13.45	+1.45	+12.1	13.45	13.95	+0.5	+3.7	13.95	14.7	+0.75	+5.4
2002	12.8	15.4	+2.6	+20.3	15.4	13.2	-2.2	-14.3	13.2	10.8	-2.4	-18.2	10.8	14.85	+4.05	+37.5
2001	20.9	18.6	-2.3	-11	18.6	15.5	-3.1	-16.7	15.5	11.25	-4.25	-27.4	11.25	12.8	+1.55	+13.8
2000	21	19.6	-1.4	-6.7	19.6	16.9	-2.7	-13.8	16.9	16.1	-0.8	-4.7	16.1	20.9	+4.8	+29.8
1999	24.2	22.8	-1.4	-5.8	22.8	24.6	+1.8	+7.9	24.6	19.5	-5.1	-20.7	19.5	21	+1.5	+7.7
1998	31.9	26	-5.9	-18.5	26	28.1	+2.1	+8.1	28.1	21.6	-6.5	-23.1	21.6	24.2	+2.6	+12
1997	39.5	38.6	-0.9	-2.3	38.6	38.1	-0.5	-1.3	38.1	36.6	-1.5	-3.9	36.6	31.9	-4.7	-12.8
