2020	7.21	5.08	-2.13	-29.5	5.08	6.5	+1.42	+28	6.5	9.7	+3.2	+49.2	9.7	29.25	+19.55	+201.5
2019	8.8	8.65	-0.15	-1.7	8.65	8.16	-0.49	-5.7	8.16	7.8	-0.36	-4.4	7.8	7.21	-0.59	-7.6
2018	11.5	10.55	-0.95	-8.3	10.55	9	-1.55	-14.7	9	8.73	-0.27	-3	8.73	8.8	+0.07	+0.8
2017	4.82	6.99	+2.17	+45	6.99	12.55	+5.56	+79.5	12.55	12.7	+0.15	+1.2	12.7	11.5	-1.2	-9.4
2016	8.69	8.57	-0.12	-1.4	8.57	7.85	-0.72	-8.4	7.85	7.1	-0.75	-9.6	7.1	4.82	-2.28	-32.1
2015	16.85	18	+1.15	+6.8	18	10.8	-7.2	-40	10.8	9.51	-1.29	-11.9	9.51	8.69	-0.82	-8.6
2014	13.95	12.8	-1.15	-8.2	12.8	12	-0.8	-6.3	12	13.25	+1.25	+10.4	13.25	16.85	+3.6	+27.2
2013	13.9	13.85	-0.05	-0.4	13.85	12.45	-1.4	-10.1	12.45	13.55	+1.1	+8.8	13.55	13.95	+0.4	+3
2012	12.1	15.75	+3.65	+30.2	15.75	13.35	-2.4	-15.2	13.35	12.2	-1.15	-8.6	12.2	13.9	+1.7	+13.9
2011	28.25	23	-5.25	-18.6	23	21.8	-1.2	-5.2	21.8	11.95	-9.85	-45.2	11.95	12.1	+0.15	+1.3
2010	12.15	11.9	-0.25	-2.1	11.9	16.45	+4.55	+38.2	16.45	20.05	+3.6	+21.9	20.05	28.25	+8.2	+40.9
2009	10.1	10.65	+0.55	+5.4	10.65	11.75	+1.1	+10.3	11.75	12.65	+0.9	+7.7	12.65	12.15	-0.5	-4
2008	25.1	23.95	-1.15	-4.6	23.95	20	-3.95	-16.5	20	10.9	-9.1	-45.5	10.9	10.1	-0.8	-7.3
2007	18.8	22.8	+4	+21.3	22.8	25.5	+2.7	+11.8	25.5	26.2	+0.7	+2.7	26.2	25.1	-1.1	-4.2
2006	21.35	19.8	-1.55	-7.3	19.8	20.3	+0.5	+2.5	20.3	17	-3.3	-16.3	17	18.8	+1.8	+10.6
2005	30.6	30.5	-0.1	-0.3	30.5	28.25	-2.25	-7.4	28.25	21	-7.25	-25.7	21	21.35	+0.35	+1.7
2004	33.7	39	+5.3	+15.7	39	31	-8	-20.5	31	30.5	-0.5	-1.6	30.5	30.6	+0.1	+0.3
2003	12.8	17.5	+4.7	+36.7	17.5	23	+5.5	+31.4	23	29.1	+6.1	+26.5	29.1	33.7	+4.6	+15.8
2002	7.75	9	+1.25	+16.1	9	8.3	-0.7	-7.8	8.3	6.65	-1.65	-19.9	6.65	12.8	+6.15	+92.5
2001	13.9	11.6	-2.3	-16.5	11.6	8.75	-2.85	-24.6	8.75	6.8	-1.95	-22.3	6.8	7.75	+0.95	+14
2000	15.1	16.7	+1.6	+10.6	16.7	16.9	+0.2	+1.2	16.9	12.7	-4.2	-24.9	12.7	13.9	+1.2	+9.4
1999	22.1	21.3	-0.8	-3.6	21.3	21	-0.3	-1.4	21	19.3	-1.7	-8.1	19.3	15.1	-4.2	-21.8
1998	26.3	23.7	-2.6	-9.9	23.7	21.5	-2.2	-9.3	21.5	24.8	+3.3	+15.3	24.8	22.1	-2.7	-10.9
1997	36.4	37.6	+1.2	+3.3	37.6	32.6	-5	-13.3	32.6	25.4	-7.2	-22.1	25.4	26.3	+0.9	+3.5
